"future","playerID","firstName","lastName","name","team","logo","playerURL","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","circasports_odds","circasports_line","circasports_mult","circasports_winPct","circasports_win","circasports_odds_under","circasports_mult_under","circasports_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","fanatics_odds","fanatics_line","fanatics_mult","fanatics_winPct","fanatics_win","fanatics_odds_under","fanatics_mult_under","fanatics_win_under","date"
"Most Improved Player","6585","Collin","Murray-Boyles","Collin Murray-Boyles","TOR","https://assets.rotowire.com/images/teamlogo/basketball/100TOR.png?v=10","/betting/nba/player/collin-murray-boyles-odds-6585",NA,NA,NA,NA,NA,NA,NA,NA,"2200","0.0",22,"2.8","440.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000","0.0",20,"3.0","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3000","0.0",30,"2.0","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","3000","0.0",30,NA,"600.00","2500","0.0",25,"0.0","500.00",NA,NA,NA,2026-08-03
"Most Improved Player","5722","Peyton","Watson","Peyton Watson","DEN","https://assets.rotowire.com/images/teamlogo/basketball/100DEN.png?v=10","/betting/nba/player/peyton-watson-odds-5722",NA,NA,NA,NA,NA,NA,NA,NA,"2500","0.0",25,"2.5","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000","0.0",20,"3.0","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3000","0.0",30,"2.0","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","3000","0.0",30,NA,"600.00","2000","0.0",20,"0.0","400.00",NA,NA,NA,2026-08-03
"Most Improved Player","4806","Naz","Reid","Naz Reid","CHA","https://assets.rotowire.com/images/teamlogo/basketball/100CHA.png?v=10","/betting/nba/player/naz-reid-odds-4806",NA,NA,NA,NA,NA,NA,NA,NA,"3500","0.0",35,"1.8","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2500","0.0",25,"2.4","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3300","0.0",33,"1.8","660.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","3500","0.0",35,NA,"700.00","2500","0.0",25,"0.0","500.00",NA,NA,NA,2026-08-03
"Most Improved Player","5910","Anthony","Black","Anthony Black","ORL","https://assets.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/anthony-black-odds-5910","4000","0.0",40,"2.0","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","4000","0.0",40,NA,"800.00",NA,NA,NA,NA,NA,NA,NA,NA,2026-08-03
"Most Improved Player","5938","Matas","Buzelis","Matas Buzelis","CHI","https://assets.rotowire.com/images/teamlogo/basketball/100CHI.png?v=10","/betting/nba/player/matas-buzelis-odds-5938",NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.6","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3500","0.0",35,"1.7","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3300","0.0",33,"1.8","660.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","4000","0.0",40,NA,"800.00","3500","0.0",35,"0.0","700.00",NA,NA,NA,2026-08-03
"Most Improved Player","6250","Stephon","Castle","Stephon Castle","SAS","https://assets.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/stephon-castle-odds-6250",NA,NA,NA,NA,NA,NA,NA,NA,"2500","0.0",25,"2.5","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3000","0.0",30,"2.0","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.5","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","4000","0.0",40,NA,"800.00","3000","0.0",30,"0.0","600.00",NA,NA,NA,2026-08-03
"Most Improved Player","6263","Zach","Edey","Zach Edey","MEM","https://assets.rotowire.com/images/teamlogo/basketball/100MEM.png?v=10","/betting/nba/player/zach-edey-odds-6263",NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.6","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3000","0.0",30,"2.0","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3300","0.0",33,"1.8","660.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","4000","0.0",40,NA,"800.00","3000","0.0",30,"0.0","600.00",NA,NA,NA,2026-08-03
"Most Improved Player","5644","Walker","Kessler","Walker Kessler","LAL","https://assets.rotowire.com/images/teamlogo/basketball/100LAL.png?v=10","/betting/nba/player/walker-kessler-odds-5644",NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.6","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2500","0.0",25,"2.4","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3300","0.0",33,"1.8","660.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","4000","0.0",40,NA,"800.00","2500","0.0",25,"0.0","500.00",NA,NA,NA,2026-08-03
"Most Improved Player","5354","Davion","Mitchell","Davion Mitchell","MIA","https://assets.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/davion-mitchell-odds-5354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.5","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.5","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","4000","0.0",40,NA,"800.00","3500","0.0",35,"0.0","700.00",NA,NA,NA,2026-08-03
"Most Improved Player","5221","Jaden","McDaniels","Jaden McDaniels","MIN","https://assets.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/jaden-mcdaniels-odds-5221",NA,NA,NA,NA,NA,NA,NA,NA,"4500","0.0",45,"1.4","900.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3300","0.0",33,"1.8","660.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","4500","0.0",45,NA,"900.00","2500","0.0",25,"0.0","500.00",NA,NA,NA,2026-08-03
"Most Improved Player","5337","Ayo","Dosunmu","Ayo Dosunmu","MIN","https://assets.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/ayo-dosunmu-odds-5337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3500","0.0",35,"1.7","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.2","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","5000","0.0",50,NA,"1,000.00","3000","0.0",30,"0.0","600.00",NA,NA,NA,2026-08-03
"Most Improved Player","6550","VJ","Edgecombe","VJ Edgecombe","PHI","https://assets.rotowire.com/images/teamlogo/basketball/100PHI.png?v=10","/betting/nba/player/vj-edgecombe-odds-6550",NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.6","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.2","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.2","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","5000","0.0",50,NA,"1,000.00","7500","0.0",75,"0.0","1,500.00",NA,NA,NA,2026-08-03
"Most Improved Player","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://assets.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/ajay-mitchell-odds-6289",NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.3","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3500","0.0",35,"1.7","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.2","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","5000","0.0",50,NA,"1,000.00","3500","0.0",35,"0.0","700.00",NA,NA,NA,2026-08-03
"Most Improved Player","5124","Paul","Reed","Paul Reed","DET","https://assets.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/paul-reed-odds-5124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3000","0.0",30,"2.0","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.2","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","5000","0.0",50,NA,"1,000.00","3500","0.0",35,"0.0","700.00",NA,NA,NA,2026-08-03
"Most Improved Player","6278","Terrence","Shannon","Terrence Shannon","MIN","https://assets.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/terrence-shannon-odds-6278",NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.6","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.2","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","5000","0.0",50,NA,"1,000.00","3500","0.0",35,"0.0","700.00",NA,NA,NA,2026-08-03
"Most Improved Player","6257","Reed","Sheppard","Reed Sheppard","HOU","https://assets.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/reed-sheppard-odds-6257",NA,NA,NA,NA,NA,NA,NA,NA,"3500","0.0",35,"1.8","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.5","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.2","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","5000","0.0",50,NA,"1,000.00","4000","0.0",40,"0.0","800.00",NA,NA,NA,2026-08-03
"Most Improved Player","4125","Dillon","Brooks","Dillon Brooks","PHX","https://assets.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/dillon-brooks-odds-4125","6000","0.0",60,"1.4","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","6000","0.0",60,NA,"1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,2026-08-03
"Most Improved Player","6254","Donovan","Clingan","Donovan Clingan","POR","https://assets.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/donovan-clingan-odds-6254",NA,NA,NA,NA,NA,NA,NA,NA,"2800","0.0",28,"2.2","560.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.5","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.0","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","6000","0.0",60,NA,"1,200.00","4000","0.0",40,"0.0","800.00",NA,NA,NA,2026-08-03
"Most Improved Player","6559","Egor","Demin","Egor Demin","BKN","https://assets.rotowire.com/images/teamlogo/basketball/100BKN.png?v=10","/betting/nba/player/egor-demin-odds-6559",NA,NA,NA,NA,NA,NA,NA,NA,"2800","0.0",28,"2.2","560.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.0","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.5","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","6000","0.0",60,NA,"1,200.00","5500","0.0",55,"0.0","1,100.00",NA,NA,NA,2026-08-03
"Most Improved Player","5732","Collin","Gillespie","Collin Gillespie","PHX","https://assets.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/collin-gillespie-odds-5732","6000","0.0",60,"1.4","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","6000","0.0",60,NA,"1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,2026-08-03
"Most Improved Player","5377","Scoot","Henderson","Scoot Henderson","POR","https://assets.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/scoot-henderson-odds-5377",NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.1","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.5","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.2","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","6000","0.0",60,NA,"1,200.00","5000","0.0",50,"0.0","1,000.00",NA,NA,NA,2026-08-03
"Most Improved Player","6540","Kon","Knueppel","Kon Knueppel","CHA","https://assets.rotowire.com/images/teamlogo/basketball/100CHA.png?v=10","/betting/nba/player/kon-knueppel-odds-6540",NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.1","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.5","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.0","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","6000","0.0",60,NA,"1,200.00","4000","0.0",40,"0.0","800.00",NA,NA,NA,2026-08-03
"Most Improved Player","5341","Sandro","Mamukelashvili","Sandro Mamukelashvili","LAL","https://assets.rotowire.com/images/teamlogo/basketball/100LAL.png?v=10","/betting/nba/player/sandro-mamukelashvili-odds-5341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.5","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.0","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","6000","0.0",60,NA,"1,200.00","4000","0.0",40,"0.0","800.00",NA,NA,NA,2026-08-03
"Most Improved Player","5699","Keegan","Murray","Keegan Murray","SAC","https://assets.rotowire.com/images/teamlogo/basketball/100SAC.png?v=10","/betting/nba/player/keegan-murray-odds-5699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3500","0.0",35,"1.7","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.0","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","6000","0.0",60,NA,"1,200.00","3500","0.0",35,"0.0","700.00",NA,NA,NA,2026-08-03
"Most Improved Player","5643","Jabari","Smith","Jabari Smith","HOU","https://assets.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/jabari-smith-odds-5643",NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.1","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.5","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.2","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","6000","0.0",60,NA,"1,200.00","5000","0.0",50,"0.0","1,000.00",NA,NA,NA,2026-08-03
"Most Improved Player","5932","Ausar","Thompson","Ausar Thompson","DET","https://assets.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/ausar-thompson-odds-5932",NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.3","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000","0.0",20,"3.0","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.0","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","6000","0.0",60,NA,"1,200.00","3500","0.0",35,"0.0","700.00",NA,NA,NA,2026-08-03
